name,manager_tenure,inception_date,asset_in_mil,turnover_rates,minimum_investment,load,net_expense_ratio,gross_expense_ratio
Artisan International Fund Advisor Class (APDIX),20 years,"$9,660.90",12/28/1995,53.82%,"$250,000",N,1.05%,1.05%
Davis Appreciation & Income Fund Class C (DCSCX),20 years,$223.51,05/01/1992,5%,"$2,500",N,1.75%,1.87%
Nuance Mid Cap Value Fund Investor Class (NMAVX),20 years,"$3,686.67",12/31/2013,76%,"$2,500",Y,1.19%,1.24%
Poplar Forest Partners Fund Institutional Class (IPFPX),20 years,$327.61,12/31/2009,40.35%,"$1,000,000",N,0.96%,1.08%
Transamerica Small/Mid Cap Value Fund Class I (TSVIX),20 years,$900.99,04/02/2001,65%,"$1,000,000",N,0.95%,0.95%
Delaware Small Cap Value Fund Class A (DEVLX),20 years,"$6,734.52",06/24/1987,23%,"$2,500",Y,1.14%,1.14%
Matthews Asia Dividend Fund Investor Class (MAPIX),20 years,"$5,207.08",10/31/2006,37.73%,"$2,500",N,1.02%,1.03%
Principal Strategic Asset Management Balanced Portfolio Institutional Class (PSBIX),20 years,"$5,117.39",07/25/1996,17.3%,"$1,000,000",N,0.83%,0.83%
Touchstone Value Fund Class C (TVLCX),20 years,$598.30,09/10/1998,37%,"$2,500",N,1.83%,2.42%
Voya SmallCap Opportunities Fund Class A (NSPAX),20 years,$171.13,06/05/1995,135%,"$2,500",Y,1.33%,1.6%
American Century Mid Cap Value Fund I Class (AVUAX),20 years,"$8,487.63",03/31/2004,65%,"$5,000,000",N,0.78%,0.78%
BNY Mellon Opportunistic Small Cap Fund Investor Shares (DSCVX),20 years,$519.00,12/29/1993,85.56%,"$2,500",N,1.13%,1.13%
Wells Fargo Target 2040 Fund - Class Admin (WFLWX),20 years,$463.14,03/01/1994,87%,$0,N,0.49%,0.66%
American Funds American Balanced Fund® Class F-1 (BALFX),20 years,"$217,258.33",07/25/1975,176%,$250,N,0.63%,0.63%
Dodge & Cox Balanced Fund (DODBX),20 years,"$15,156.00",06/26/1931,54%,"$2,500",N,0.53%,0.53%
Franklin Multi-Asset Growth Fund A (SCHAX),20 years,$856.00,02/05/1996,25%,"$1,000",Y,1.3%,1.3%
Hotchkis & Wiley Small Cap Diversified Value Fund Class I (HWVIX),20 years,$486.96,06/30/2014,42%,"$250,000",N,0.8%,0.87%
Janus Henderson Global Allocation Fund - Growth Class T (JSPGX),20 years,$269.96,12/30/2005,50%,"$2,500",N,1.05%,1.05%
Touchstone International ESG Equity Fund Class C (TPYCX),20 years,$34.82,12/03/2007,80%,"$2,500",N,1.95%,2.56%
Undiscovered Managers Behavioral Value Fund Class I (UBVSX),20 years,"$7,355.25",12/28/1998,30%,"$1,000,000",N,1.05%,1.1%
Eaton Vance Large-Cap Value Fund Class C (ECSTX),20 years,"$1,703.61",09/23/1931,65%,"$2,500",N,1.79%,1.79%
Fidelity® Real Estate Investment Portfolio (FRESX),20 years,"$5,956.43",11/17/1986,35%,$0,N,0.73%,0.73%
First Eagle Fund of America Class A (FEFAX),20 years,$570.15,04/10/1987,97.86%,"$2,500",Y,0.91%,1.02%
Rondure Overseas Fund Institutional Class (ROSIX),20 years,$29.89,05/01/2017,51%,"$2,500",N,0.85%,1.7%
AMG Yacktman Special Opportunities Fund Class I (YASSX),20 years,$105.24,06/30/2014,37%,"$100,000",N,1.15%,1.24%
Pacific Funds Portfolio Optimization Moderate Fund Class C (POMCX),20 years,"$1,110.57",12/31/2003,27%,"$2,500",N,1.97%,2.01%
Thrivent Moderate Allocation Fund Class S (TMAIX),20 years,"$3,702.94",06/30/2005,117%,"$2,500",N,0.81%,0.99%
T. Rowe Price Retirement 2020 Fund (TRRBX),20 years,"$15,386.63",09/30/2002,18.8%,"$2,500",N,0.53%,0.53%
RBC Microcap Value Fund Class A (TMVAX),20 years,$128.43,09/10/1987,20%,"$2,500",Y,1.33%,1.81%
American Beacon Bahl & Gaynor Small Cap Growth Fund A Class (GBSAX),20 years,$46.47,07/15/2014,38%,"$2,500",Y,1.32%,1.64%
American Century Investments One Choice 2035 Portfolio Investor Class (ARYIX),20 years,"$2,510.31",08/31/2004,17%,"$2,500",N,0.82%,0.86%
Davis Financial Fund Class C (DFFCX),20 years,"$1,068.92",05/01/1991,9%,"$2,500",N,1.75%,1.75%
Delaware Global Listed Real Assets Fund A Class (DPREX),20 years,$125.64,12/06/1995,84%,"$2,500",Y,1.33%,1.53%
WPG Partners Small/Micro Cap Value Fund (WPGTX),20 years,$29.31,03/30/1972,123%,"$100,000",N,1.1%,1.31%
JHancock Infrastructure Fund Class I (JEEIX),20 years,$695.80,12/20/2013,34%,"$250,000",N,1%,1.02%
Virtus AllianzGI Global Allocation Fund Institutional Class (PALLX),20 years,$294.94,09/30/1998,141%,"$1,000,000",N,0.68%,1.39%
American Funds Moderate Growth and Income Portfolio Class C (BLPCX),20 years,"$13,508.45",05/18/2012,17%,$250,N,1.39%,1.39%
BrandywineGLOBAL - Diversified US Large Cap Value Fund Class I (LBWIX),20 years,$330.28,09/07/2010,54%,"$1,000,000",N,0.81%,0.82%
RiverNorth Core Opportunity Fund Class I (RNCIX),20 years,$81.78,12/27/2006,110%,"$100,000",N,2.69%,2.69%
BMO Dividend Income Fund Class A (BADIX),20 years,$226.55,12/29/2011,43%,"$2,500",Y,0.9%,1.01%
GuideStone Funds Emerging Markets Equity Fund Investor Class (GEMZX),20 years,$814.78,10/31/2013,67%,"$2,500",N,1.52%,1.52%
Transamerica Asset Allocation Moderate Growth Portfolio Class C (IMLLX),20 years,"$1,999.01",03/01/2002,28%,"$2,500",N,2.02%,2.02%
Victory RS Large Cap Alpha Fund Class A (GPAFX),20 years,$524.40,06/01/1972,95%,"$2,500",Y,0.89%,0.95%
Virtus AllianzGI Emerging Markets Opportunities Fund Class A (AOTAX),20 years,$291.02,05/27/2004,83%,"$2,500",Y,1.29%,1.53%
Virtus AllianzGI Global Dynamic Allocation Fund Class C (ASACX),20 years,$58.79,04/27/2009,221%,"$2,500",N,1.68%,2.43%
Becker Value Equity Fund Institutional Class (BVEIX),20 years,$150.41,11/03/2003,34%,"$100,000",N,0.69%,0.79%
BMO Large-Cap Value Fund Class A (BALVX),20 years,$332.72,01/31/2008,67%,"$2,500",Y,0.79%,0.85%
Guggenheim World Equity Income Fund Class P (SEQPX),20 years,$52.87,10/01/1993,192%,"$2,500",N,1.22%,1.56%
Kirr Marbach Partners Value Fund (KMVAX),20 years,$77.53,12/31/1998,23%,"$2,500",N,1.45%,1.64%
Payden Equity Income Fund (PYVLX),20 years,"$1,790.41",11/01/1996,63%,"$5,000",N,0.74%,0.74%
TETON Westwood Equity Fund Class A (WEECX),20 years,$56.75,01/02/1987,46%,"$2,500",Y,1.63%,1.63%
VanEck Emerging Markets Fund Class C (EMRCX),20 years,"$2,649.16",12/20/1993,30%,"$2,500",N,2.27%,2.27%
Vanguard European Stock Index Fund Admiral Shares (VEUSX),20 years,"$27,799.50",06/18/1990,3%,"$2,500",N,0.1%,0.1%
JPMorgan Equity Premium Income Fund Class I (JEPIX),20 years,"$1,638.84",08/31/2018,236%,"$1,000,000",N,0.61%,0.7%
Lord Abbett International Opportunities Fund Class A (LAIEX),20 years,$463.76,12/13/1996,55%,"$2,500",Y,1.24%,1.24%
PGIM Global Real Estate Fund- Class Z (PURZX),20 years,"$1,541.91",05/05/1998,158%,"$2,500",N,0.94%,0.94%
Voya Small Company Fund Class I (VYSAX),20 years,$410.97,01/04/1994,143%,"$250,000",N,1.04%,1.24%
Victory Sophus Emerging Markets Fund Class Y (RSENX),20 years,$526.62,05/01/1997,96%,"$1,000,000",N,0.99%,1.31%
Wells Fargo Target 2040 Fund - Class A (STFRX),20 years,$463.14,03/01/1994,87%,"$1,000",Y,0.6%,0.74%
Artisan Mid Cap Value Fund Advisor Class (APDQX),20 years,"$2,034.49",03/28/2001,43.12%,"$250,000",N,1.06%,1.06%
Boston Partners Small Cap Value Fund II Investor Class (BPSCX),20 years,$899.74,07/01/1998,46%,"$2,500",N,1.24%,1.34%
PIMCO RealPath Blend 2025 Fund Class A (PPZAX),20 years,$259.27,12/31/2014,20%,"$1,000",Y,0.86%,0.87%
Rydex Dow Jones Industrial Average® Fund Class A (RYDAX),20 years,$25.04,12/01/2015,110%,"$2,500",Y,1.7%,1.71%
Rydex Dow Jones Industrial Average® Fund Class H (RYDHX),20 years,$25.04,12/01/2015,110%,"$2,500",N,1.71%,1.72%
Gabelli Equity Income Fund Class C (GCCEX),20 years,$603.65,01/02/1992,0%,"$2,500",N,2.23%,2.23%
Artisan International Fund Investor Class (ARTIX),20 years,"$9,660.90",12/28/1995,53.82%,"$2,500",N,1.19%,1.19%
BNY Mellon Equity Income Fund Class C (DQICX),20 years,$997.44,07/05/2006,49.94%,"$2,500",N,1.78%,1.82%
Delaware Healthcare Fund Class A (DLHAX),20 years,"$1,066.06",09/28/2007,22%,"$2,500",Y,1.23%,1.23%
Goldman Sachs Large Cap Value Fund Class C (GSVCX),20 years,$506.79,12/15/1999,64%,"$1,000",N,1.79%,2.01%
USAA Emerging Markets Fund (USEMX),20 years,$693.10,11/07/1994,73%,"$3,000",N,1.45%,1.47%
SEI Asset Allocation Trust Aggressive Strategy Fund Class F (SSGAX),20 years,$172.72,11/17/2003,21%,"$100,000",N,1.17%,1.41%
JPMorgan Europe Dynamic Fund Class I (JFESX),20 years,"$1,074.34",11/02/1995,159%,"$1,000,000",N,0.99%,1.01%
DWS RREEF Global Real Estate Securities Fund - Class A (RRGAX),20 years,$259.59,07/03/2006,115%,"$2,500",Y,1.2%,1.39%
ICON Utilities and Income Fund Institutional Class (ICTUX),20 years,$44.22,07/09/1997,24%,"$500,000",N,1.23%,1.47%
MFS Blended Research Small Cap Equity Fund Class C (BRSHX),20 years,$369.93,09/15/2015,80%,"$1,000",N,1.74%,1.86%
USAA Emerging Markets Fund Class A (UAEMX),20 years,$693.10,11/07/1994,73%,"$2,500",Y,1.72%,1.98%
Virtus NFJ Large-Cap Value Fund Class A (PNBAX),20 years,$345.73,05/08/2000,114%,"$2,500",Y,1.02%,1.02%
Vanguard LifeStrategy Moderate Growth Fund Investor Shares (VSMGX),20 years,"$22,294.52",09/30/1994,21%,"$2,500",N,0.13%,0.13%
Ariel Focus Fund Institutional Class (AFOYX),20 years,$70.88,06/30/2005,22%,"$1,000,000",N,0.75%,0.89%
Navigator Equity Hedged Fund Class C (NAVCX),20 years,$38.19,12/28/2010,498%,"$5,000",N,2.22%,2.65%
Nuveen Large Cap Value Fund Class A (NQCAX),20 years,$19.65,12/15/2006,59%,"$3,000",Y,1%,1.76%
Transamerica Mid Cap Value Opportunities A (MCVAX),20 years,"$1,414.56",04/30/2014,40%,"$2,500",Y,1.2%,1.31%
Becker Value Equity Fund Retail Class (BVEFX),20 years,$150.41,11/03/2003,34%,"$2,500",N,0.79%,0.89%
BlackRock International Dividend Fund Investor A Shares (BREAX),20 years,$236.03,09/26/1997,83%,"$1,000",Y,1.09%,1.45%
Brown Advisory Emerging Markets Select Fund Investor Shares (BIAQX),20 years,$555.79,12/12/2012,61%,"$2,500",N,1.32%,1.32%
FS Chiron Capital Allocation Fund Class C Shares (CCPCX),20 years,"$1,253.44",11/30/2015,,"$2,500",N,2.13%,2.13%
JPMorgan Small Cap Value Fund Class C (OSVCX),20 years,"$1,500.92",01/27/1995,42%,"$1,000",N,1.74%,1.78%
Knights of Columbus International Equity Fund I Share (KCIIX),20 years,$150.60,02/27/2015,47%,"$25,000",N,1.1%,1.33%
MFS Blended Research Value Equity Fund Class I (BRUHX),20 years,$249.77,09/15/2015,57%,$0,N,0.49%,0.61%
MFS Total Return Fund Class A (MSFRX),20 years,"$8,789.32",10/06/1970,92%,"$1,000",Y,0.73%,0.73%
"Morgan Stanley Institutional Fund, Inc. Emerging Markets Portfolio Class A (MMKBX)",20 years,$743.81,09/25/1992,57%,"$2,500",Y,1.4%,1.43%
Pax International Sustainable Economy Fund Investor Class (PXINX),20 years,$846.03,01/27/2011,30%,"$2,500",N,0.73%,0.73%
USAA Capital Growth Fund (USCGX),20 years,$915.26,10/27/2000,67%,"$3,000",N,1.12%,1.13%
Pioneer International Equity Fund Class Y (INVYX),20 years,$156.21,03/25/1993,66%,"$5,000,000",N,0.7%,0.96%
Coho Relative Value Equity Fund (COHOX),20 years,"$1,001.89",08/14/2013,26%,"$5,000",N,0.79%,0.82%
Nuveen Real Estate Securities Fund Class C (FRLCX),20 years,"$2,573.75",06/30/1995,135%,"$3,000",N,1.97%,2.05%
American Century Investments One Choice 2040 Portfolio C Class (ARNOX),20 years,"$1,789.14",05/30/2008,19%,$250,N,1.84%,1.89%
DWS RREEF Real Assets Fund - Class C (AAAPX),20 years,"$3,522.99",07/30/2007,74%,"$2,500",N,1.97%,2.08%
EuroPac International Value Fund Class I (EPVIX),20 years,$110.42,04/07/2010,13%,"$5,000",N,1.5%,1.56%
Hennessy Japan Fund Institutional Class (HJPIX),20 years,$813.55,10/31/2003,23%,"$250,000",N,1.04%,1.04%
Janus Henderson Emerging Markets Fund Class I (HEMIX),20 years,$107.33,12/31/2010,110%,"$2,500",N,1.1%,1.54%
Scharf Multi-Asset Opportunity Fund Institutional Class (LOGOX),20 years,$51.60,12/31/2012,48.02%,"$5,000,000",N,1%,1.51%
Vanguard Emerging Markets Stock Index Fund Admiral Shares (VEMAX),20 years,"$110,865.51",05/04/1994,10%,"$2,500",N,0.14%,0.14%
American Century Mid Cap Value Fund Investor Class (ACMVX),20 years,"$8,487.63",03/31/2004,65%,"$2,500",N,0.98%,0.98%
Fidelity Freedom® Index 2025 Fund - Institutional Premium Class (FFEDX),20 years,"$13,210.62",10/02/2009,26%,"$5,000,000",N,0.08%,0.08%
Guggenheim SMid Cap Value Fund Class P (SEVPX),20 years,$443.86,05/01/1997,41%,"$2,500",N,1.3%,1.33%
Rydex Banking Fund Class Investor (RYKIX),20 years,$36.78,04/01/1998,799%,"$2,500",N,1.43%,1.43%
Virtus NFJ Mid-Cap Value Fund Institutional Class (PRNIX),20 years,"$1,457.26",04/18/1988,197%,"$1,000,000",N,0.65%,0.82%
William Blair Small Cap Value Fund Class N (WBVNX),20 years,"$2,020.08",04/19/1989,27%,"$2,500",N,1.15%,1.19%
American Funds International Growth and Income Fund Class A (IGAAX),20 years,"$16,055.38",10/01/2008,23%,$250,Y,0.91%,0.91%
Columbia Flexible Capital Income Fund Class C (CFIGX),20 years,"$1,434.65",07/28/2011,58%,"$2,500",N,1.88%,1.88%
Cullen Value Fund Class I (CVLVX),20 years,$28.29,08/31/2012,40%,"$2,500",N,0.76%,2.09%
Greenspring Fund (GRSPX),20 years,$175.24,07/01/1983,31%,"$2,500",N,1.14%,1.14%
Aberdeen Global Infrastructure Fund Institutional Class (AIFRX),20 years,$58.30,11/03/2008,23.76%,"$1,000,000",N,0.99%,1.21%
American Funds International Growth and Income Fund Class F-1 (IGIFX),20 years,"$16,055.38",10/01/2008,23%,$250,N,0.92%,0.92%
FS Chiron SMid Opportunities Fund Class C Shares (CSCMX),20 years,$47.89,10/02/2017,,"$2,500",N,2.2%,3.07%
MainStay CBRE Global Infrastructure Fund Class I (VCRIX),20 years,$826.12,06/28/2013,51%,"$1,000,000",N,0.97%,1.1%
Poplar Forest Partners Fund Class A (PFPFX),20 years,$327.61,12/31/2009,40.35%,"$25,000",Y,1.21%,1.33%
AQR Diversified Arbitrage Fund Class I (ADAIX),20 years,"$1,224.03",01/15/2009,361%,"$5,000,000",N,2.12%,2.18%
First Eagle U.S. Value Fund Class I (FEVIX),20 years,"$1,303.37",09/04/2001,10.3%,"$1,000,000",N,0.84%,0.89%
Loomis Sayles Small Capital Value Fund Institutional Class (LSSCX),20 years,$614.45,05/13/1991,23%,"$100,000",N,0.9%,0.95%
Wasatch-Hoisington U.S. Treasury Fund (WHOSX),20 years,$463.01,12/08/1986,13%,"$2,500",N,0.66%,0.66%
Wells Fargo Emerging Markets Equity Fund - Class A (EMGAX),20 years,"$6,193.46",09/06/1994,12%,"$1,000",Y,1.45%,1.55%
BlackRock Global Dividend Portfolio Insitutional Shares (BIBDX),20 years,"$1,613.20",04/07/2008,86%,"$2,000,000",N,0.75%,0.75%
Fidelity Asset Manager® 50% (FASMX),20 years,"$11,871.37",12/28/1988,14%,$0,N,0.64%,0.64%
Rondure Overseas Fund Investor Class (ROSOX),20 years,$29.89,05/01/2017,51%,"$2,500",N,1.1%,2.01%
Thrivent Moderate Allocation Fund Class A (THMAX),20 years,"$3,702.94",06/30/2005,117%,"$2,500",Y,1.04%,1.22%
TIAA-CREF International Equity Fund Institutional Class (TIIEX),20 years,"$6,743.08",07/01/1999,102%,"$2,000,000",N,0.48%,0.48%
USAA Global Managed Volatility Fund Fund Shares (UGMVX),20 years,$586.65,07/31/2008,86%,"$3,000",N,1.07%,1.32%
American Funds American Mutual Fund® Class C (AMFCX),20 years,"$84,798.04",02/21/1950,24%,$250,N,1.34%,1.34%
Invesco European Small Company Fund Class C (ESMCX),20 years,$278.88,08/31/2000,6%,"$1,000",N,2.29%,2.3%
Invesco International Core Equity Fund Class C (IBVCX),20 years,$73.15,10/28/1998,61%,"$1,000",N,1.87%,2.43%
Aberdeen Emerging Markets Sustainable Leaders Fund Class C (GIGCX),20 years,$216.49,08/30/2000,37.5%,"$2,500",N,2.1%,2.2%
Artisan Mid Cap Value Fund Investor Class (ARTQX),20 years,"$2,034.49",03/28/2001,43.12%,"$2,500",N,1.22%,1.22%
"BlackRock Global Allocation Fund, Inc. Investor C Shares (MCLOX)",20 years,"$26,868.87",02/03/1989,58%,"$1,000",N,1.86%,1.92%
Fidelity Freedom® Index 2025 Fund - Investor Class (FQIFX),20 years,"$13,210.62",10/02/2009,26%,$0,N,0.12%,0.12%
PIMCO RAE PLUS Fund Class I-3 (PXTNX),20 years,"$1,588.14",06/30/2005,271%,$0,N,0.95%,1%
Undiscovered Managers Behavioral Value Fund Class A (UBVAX),20 years,"$7,355.25",12/28/1998,30%,"$1,000",Y,1.3%,1.34%
Hartford Small Cap Value Fund Class A (HSMAX),20 years,$176.56,12/31/2004,62%,"$2,500",Y,1.3%,1.41%
RiverNorth Core Opportunity Fund Class R (RNCOX),20 years,$81.78,12/27/2006,110%,"$5,000",N,2.94%,2.94%
American Funds Developing World Growth and Income Fund Class F-1 (DWGFX),20 years,"$3,082.35",02/03/2014,36%,$250,N,1.22%,1.22%
Guggenheim RBP® Large-Cap Defensive Fund Class C (TVDCX),20 years,$11.76,04/27/2010,100%,"$5,000",N,1.95%,3.22%
GuideStone Funds Global Real Estate Securities Fund Investor Class (GREZX),20 years,$320.69,12/29/2006,141%,"$2,500",N,1.14%,1.14%
Hotchkis & Wiley Small Cap Diversified Value Fund Class A (HWVAX),20 years,$486.96,06/30/2014,42%,"$2,500",Y,1.05%,1.14%
Invesco Comstock Fund Class C (ACSYX),20 years,"$9,966.23",10/07/1968,46%,"$1,000",N,1.56%,1.56%
Invesco Equity and Income Fund Class A (ACEIX),20 years,"$13,372.62",08/03/1960,133%,"$1,000",Y,0.79%,0.8%
MainStay Growth Allocation Fund Class C (MGDCX),20 years,$925.29,04/04/2005,47%,"$2,500",N,2%,2.12%
Principal LifeTime Hybrid 2025 Fund Institutional Class (PHTQX),20 years,$488.77,09/30/2014,18.6%,"$1,000,000",N,0.37%,0.39%
Putnam International Equity Fund Class A (POVSX),20 years,$890.68,02/28/1991,91%,"$2,500",Y,1.21%,1.21%
Royce Total Return Fund Service Class (RYTFX),20 years,"$1,548.47",12/15/1993,61%,"$2,500",N,1.5%,1.56%
American Century Investments One Choice 2035 Portfolio A Class (ARYAX),20 years,"$2,510.31",08/31/2004,17%,$250,Y,1.07%,1.11%
AMG River Road Small-Mid Cap Value Fund Class I (ARIMX),20 years,$277.13,03/29/2007,47%,"$100,000",N,1.06%,1.06%
Hotchkis & Wiley Large Cap Value Fund Class C (HWLCX),20 years,$481.27,06/24/1987,25%,"$2,500",N,1.92%,1.92%
Matrix Advisors Dividend Fund (MADFX),20 years,$27.58,10/13/2016,31%,"$2,500",N,0.9%,1.8%
Touchstone Small Cap Class C (TSFCX),20 years,$97.45,09/30/2009,22%,"$2,500",N,2.03%,3.11%
Vanguard High Dividend Yield Index Fund Admiral (VHYAX),20 years,"$51,184.80",11/10/2006,11%,"$3,000",N,0.08%,0.08%
BNY Mellon Balanced Opportunity Fund - Class A (DBOAX),20 years,$365.00,03/16/1987,95.62%,"$2,500",Y,1.15%,1.24%
Goldman Sachs Real Estate Securities Fund Class C (GRECX),20 years,$165.99,07/27/1998,57%,"$1,000",N,2.03%,2.36%
Goldman Sachs Small Cap Value Insights Fund Class A (GSATX),20 years,"$1,279.66",06/25/2007,153%,"$1,000",Y,1.21%,1.3%
Harbor International Small Cap Fund Institutional Class (HAISX),20 years,$61.39,02/01/2016,39%,"$50,000",N,0.96%,1.45%
JPMorgan Equity Premium Income Fund Class A (JEPAX),20 years,"$1,638.84",08/31/2018,236%,"$1,000",Y,0.86%,0.92%
MFS Utilities Fund Class I (MMUIX),20 years,"$3,197.29",02/14/1992,30%,$0,N,0.76%,0.76%
Neuberger Berman Global Real Estate Fund Class C (NGRCX),20 years,$3.83,12/30/2014,51%,"$2,500",N,2.12%,9.88%
Vanguard Target Retirement 2025 Fund Investor Shares (VTTVX),20 years,"$41,661.43",10/27/2003,21%,"$2,500",N,0.13%,0.13%
Voya Multi-Manager Emerging Markets Equity Fund Class A (IEMHX),20 years,$512.05,10/11/2011,60%,"$2,500",Y,1.5%,1.63%
Transamerica Small/Mid Cap Value Fund Class A (IIVAX),20 years,$900.99,04/02/2001,65%,"$2,500",Y,1.31%,1.31%
BlackRock Equity Dividend Fund Investor C Shares (MCDVX),20 years,"$21,934.16",11/29/1988,45%,"$1,000",N,1.7%,1.7%
Payden Equity Income Fund Adviser Class (PYVAX),20 years,"$1,790.41",11/01/1996,63%,"$5,000",N,0.99%,0.99%
Principal Strategic Asset Management Balanced Portfolio Class A (SABPX),20 years,"$5,117.39",07/25/1996,17.3%,"$2,500",Y,1.14%,1.14%
USAA Growth and Tax Strategy Fund (USBLX),20 years,$831.55,01/11/1989,34%,"$3,000",N,0.59%,0.59%
Virtus AllianzGI Global Allocation Fund Class A (PALAX),20 years,$294.94,09/30/1998,141%,"$2,500",Y,0.91%,1.64%
American Century Value Fund I Class (AVLIX),20 years,"$2,389.31",09/01/1993,53%,"$5,000,000",N,0.8%,0.8%
American Funds Developing World Growth and Income Fund Class A (DWGAX),20 years,"$3,082.35",02/03/2014,36%,$250,Y,1.26%,1.26%
Commonwealth Global Fund (CNGLX),20 years,$19.65,12/03/2002,8%,"$2,500",N,2.56%,2.56%
Goldman Sachs Equity Income Fund Class A (GSGRX),20 years,$427.66,02/05/1993,42%,"$1,000",Y,1.04%,1.23%
Lazard Emerging Markets Equity Advantage Portfolio Institutional Shares (LEAIX),20 years,$69.82,05/29/2015,91%,"$10,000",N,0.9%,1.87%
Madison Covered Call & Equity Income Fund Class Y (MENYX),20 years,$90.65,10/30/2009,108%,"$2,500",N,1.05%,1.05%
Wells Fargo Asset Allocation Fund - Class C (EACFX),20 years,"$1,875.70",07/29/1996,137%,"$1,000",N,1.88%,1.97%
Crawford Small Cap Dividend Fund (CDOFX),20 years,$341.71,09/26/2012,32%,"$2,500",N,0.99%,1.17%
Hartford Growth Allocation Fund Class C (HRACX),20 years,$648.81,05/28/2004,19%,"$2,500",N,1.9%,1.9%
Janus Henderson Emerging Markets Fund Class T (HEMTX),20 years,$107.33,12/31/2010,110%,"$2,500",N,1.28%,1.83%
Victory RS International Fund Class Y (RSIGX),20 years,$433.29,02/16/1993,20%,"$1,000,000",N,0.88%,1.09%
BNY Mellon Emerging Markets Fund Class Investor (MIEGX),20 years,$996.38,10/02/2000,63.29%,"$10,000",N,1.64%,1.64%
PGIM Jennison Utility Fund- Class C (PCUFX),20 years,"$3,505.72",01/22/1990,28%,"$2,500",N,1.59%,1.59%
Praxis Genesis Balanced Portfolio Class A (MBAPX),20 years,$95.08,12/31/2009,21.52%,"$2,500",Y,0.97%,0.97%
USAA Global Equity Income Fund Fund Shares (UGEIX),20 years,$65.02,08/07/2015,46%,"$3,000",N,1.03%,1.18%
BrandywineGLOBAL - Diversified US Large Cap Value Fund Class A (LBWAX),20 years,$330.28,09/07/2010,54%,"$1,000",Y,1.16%,1.17%
JHancock Infrastructure Fund Class A (JEEBX),20 years,$695.80,12/20/2013,34%,"$1,000",Y,1.31%,1.32%
John Hancock Funds II Equity Income Fund Class A (JHEIX),20 years,"$2,235.29",10/14/2005,22%,"$1,000",Y,1.14%,1.16%
PGIM Jennison Natural Resources Fund - Class A (PGNAX),20 years,$754.58,01/22/1990,37%,"$2,500",Y,1.38%,1.38%
BNY Mellon Global Real Estate Securities - Class A (DRLAX),20 years,$530.50,12/29/2006,116.78%,"$2,500",Y,1.3%,2.44%
Crossmark Steward Global Equity Income Fund Class C (SGIFX),20 years,$348.42,04/03/2008,48%,"$2,500",N,1.98%,1.98%
DCM/INNOVA High Equity Income Innovation Fund (TILDX),20 years,$37.46,03/16/2005,435%,"$2,500",N,1.57%,3.43%
Lord Abbett Mid Cap Stock Fund Class A (LAVLX),20 years,"$1,498.53",06/28/1983,63%,"$2,500",Y,1.02%,1.02%
Transamerica Multi-Asset Income Fund Class C (TCSHX),20 years,$568.36,03/03/2014,61%,"$2,500",N,1.76%,1.81%
Vanguard International Explorer Fund Investor Shares (VINEX),20 years,"$2,815.05",11/04/1996,71%,"$2,500",N,0.39%,0.39%
Victory Integrity Small-Cap Value Fund Class Y (VSVIX),20 years,"$1,916.66",03/30/2004,80%,"$1,000,000",N,1.08%,1.08%
Great Lakes Large Cap Value Fund Institutional Class Shares (GLLIX),20 years,$43.14,09/28/2012,35%,"$2,500",N,0.85%,1.04%
MFS Blended Research Value Equity Fund Class A (BRUDX),20 years,$249.77,09/15/2015,57%,"$1,000",Y,0.74%,0.86%
Ave Maria World Equity Fund (AVEWX),20 years,$88.80,04/30/2010,43%,"$2,500",N,1.26%,1.27%
JPMorgan Europe Dynamic Fund Class A (VEUAX),20 years,"$1,074.34",11/02/1995,159%,"$1,000",Y,1.24%,1.28%
JPMorgan Mid Cap Value Fund Class C (JCMVX),20 years,"$17,302.85",11/13/1997,18%,"$1,000",N,1.64%,1.73%
Nuveen International Growth Fund Class C (NBQCX),20 years,"$2,611.01",04/24/2009,70%,"$3,000",N,1.88%,1.95%
Putnam Focused International Equity Fund Class C (PUGCX),20 years,"$1,042.78",07/01/1994,62%,"$2,500",N,1.88%,1.88%
Victory RS Investors Fund Class Y (RSIYX),20 years,$30.85,11/15/2005,66%,"$1,000,000",N,1.05%,1.5%
Voya Small Company Fund Class A (VYSYX),20 years,$410.97,01/04/1994,143%,"$2,500",Y,1.35%,1.48%
Westwood Quality SmallCap Fund Institutional Class (WHGSX),20 years,"$1,096.88",04/02/2007,67%,"$100,000",N,0.99%,1.16%
Ariel Focus Fund Investor Class (ARFFX),20 years,$70.88,06/30/2005,22%,"$2,500",N,1%,1.25%
Catalyst Dynamic Alpha Fund Class I (CPEIX),20 years,$176.23,12/22/2011,116%,"$2,500",N,1.13%,1.23%
Hartford MidCap Value Fund Class C (HMVCX),20 years,$875.29,04/30/2001,61%,"$2,500",N,2.03%,2.03%
PIMCO RAE PLUS EMG Fund Class A (PEFFX),20 years,$371.04,11/26/2008,331%,"$1,000",Y,1.54%,1.54%
T. Rowe Price Target 2025 Fund (TRRVX),20 years,$552.85,08/20/2013,34.4%,"$2,500",N,0.52%,0.52%
BlackRock Advantage Large Cap Value Fund Investor C Shares (MCLVX),20 years,$657.06,12/22/1999,126%,"$1,000",N,1.54%,1.71%
